age	mx	qx	lx	dx	ex
0	0.004532	0.004521	100000.0	452.1	78.82
1	0.000244	0.000244	99547.9	24.3	78.17
2	0.000165	0.000165	99523.6	16.4	77.19
3	0.000109	0.000109	99507.2	10.9	76.21
4	0.000083	0.000083	99496.3	8.2	75.21
5	0.000086	0.000086	99488.1	8.6	74.22
6	0.000070	0.000070	99479.5	7.0	73.23
7	0.000072	0.000072	99472.5	7.2	72.23
8	0.000076	0.000076	99465.3	7.5	71.24
9	0.000071	0.000071	99457.8	7.1	70.24
10	0.000059	0.000059	99450.7	5.9	69.25
11	0.000095	0.000095	99444.8	9.5	68.25
12	0.000102	0.000102	99435.3	10.2	67.26
13	0.000118	0.000118	99425.2	11.7	66.26
14	0.000132	0.000132	99413.5	13.1	65.27
15	0.000178	0.000178	99400.4	17.7	64.28
16	0.000240	0.000240	99382.7	23.9	63.29
17	0.000310	0.000310	99358.8	30.8	62.31
18	0.000434	0.000434	99328.0	43.1	61.33
19	0.000507	0.000507	99284.9	50.3	60.35
20	0.000479	0.000479	99234.6	47.5	59.38
21	0.000514	0.000514	99187.1	51.0	58.41
22	0.000520	0.000520	99136.1	51.5	57.44
23	0.000582	0.000582	99084.6	57.6	56.47
24	0.000546	0.000546	99027.0	54.0	55.50
25	0.000544	0.000544	98972.9	53.8	54.53
26	0.000664	0.000664	98919.1	65.7	53.56
27	0.000644	0.000643	98853.5	63.6	52.60
28	0.000699	0.000699	98789.9	69.0	51.63
29	0.000782	0.000782	98720.8	77.2	50.67
30	0.000795	0.000795	98643.6	78.4	49.71
31	0.000886	0.000886	98565.2	87.3	48.75
32	0.000929	0.000928	98477.9	91.4	47.79
33	0.000992	0.000992	98386.5	97.6	46.83
34	0.001030	0.001030	98288.9	101.2	45.88
35	0.001129	0.001129	98187.7	110.8	44.93
36	0.001271	0.001270	98076.9	124.6	43.98
37	0.001343	0.001342	97952.4	131.4	43.03
38	0.001447	0.001446	97820.9	141.5	42.09
39	0.001617	0.001616	97679.4	157.8	41.15
40	0.001733	0.001731	97521.6	168.9	40.21
41	0.001873	0.001871	97352.7	182.2	39.28
42	0.001972	0.001970	97170.6	191.5	38.36
43	0.002117	0.002115	96979.1	205.1	37.43
44	0.002277	0.002275	96774.0	220.1	36.51
45	0.002507	0.002503	96553.9	241.7	35.59
46	0.002683	0.002680	96312.1	258.1	34.68
47	0.002940	0.002936	96054.1	282.0	33.77
48	0.003268	0.003262	95772.1	312.4	32.87
49	0.003525	0.003519	95459.6	335.9	31.97
50	0.003829	0.003822	95123.8	363.5	31.09
51	0.004062	0.004054	94760.2	384.2	30.20
52	0.004496	0.004486	94376.1	423.4	29.32
53	0.004703	0.004692	93952.7	440.8	28.45
54	0.005100	0.005087	93511.9	475.7	27.59
55	0.005453	0.005438	93036.2	505.9	26.72
56	0.005885	0.005867	92530.2	542.9	25.87
57	0.006430	0.006409	91987.3	589.5	25.02
58	0.006884	0.006860	91397.8	627.0	24.18
59	0.007414	0.007387	90770.8	670.5	23.34
60	0.008167	0.008134	90100.3	732.9	22.51
61	0.009077	0.009036	89367.4	807.5	21.69
62	0.009762	0.009714	88559.9	860.3	20.88
63	0.010591	0.010535	87699.6	923.9	20.08
64	0.011667	0.011600	86775.7	1006.6	19.29
65	0.012625	0.012545	85769.1	1076.0	18.51
66	0.013983	0.013886	84693.1	1176.1	17.74
67	0.015532	0.015413	83517.0	1287.2	16.98
68	0.017026	0.016882	82229.8	1388.2	16.24
69	0.018353	0.018186	80841.6	1470.2	15.51
70	0.020152	0.019951	79371.4	1583.6	14.79
71	0.022174	0.021931	77787.8	1706.0	14.08
72	0.024318	0.024026	76081.9	1828.0	13.39
73	0.026197	0.025858	74253.9	1920.0	12.70
74	0.028446	0.028047	72333.9	2028.7	12.03
75	0.031738	0.031242	70305.1	2196.5	11.36
76	0.035689	0.035063	68108.6	2388.1	10.71
77	0.039662	0.038891	65720.6	2555.9	10.08
78	0.044957	0.043968	63164.6	2777.2	9.47
79	0.049864	0.048651	60387.4	2937.9	8.88
80	0.057274	0.055679	57449.5	3198.7	8.31
81	0.063992	0.062008	54250.7	3364.0	7.77
82	0.072609	0.070065	50886.8	3565.4	7.25
83	0.079822	0.076758	47321.4	3632.3	6.76
84	0.089868	0.086004	43689.1	3757.4	6.28
85	0.100860	0.096018	39931.6	3834.2	5.82
86	0.113688	0.107573	36097.5	3883.1	5.39
87	0.128612	0.120841	32214.3	3892.8	4.98
88	0.146128	0.136178	28321.5	3856.8	4.59
89	0.163790	0.151392	24464.8	3703.8	4.24
90	0.186567	0.170648	20761.0	3542.8	3.90
91	0.206363	0.187061	17218.2	3220.9	3.60
92	0.234554	0.209933	13997.3	2938.5	3.32
93	0.259218	0.229476	11058.8	2537.7	3.07
94	0.289624	0.252988	8521.1	2155.7	2.83
95	0.320736	0.276409	6365.3	1759.4	2.62
96	0.349710	0.297662	4605.9	1371.0	2.43
97	0.392802	0.328320	3234.9	1062.1	2.25
98	0.409045	0.339591	2172.8	737.9	2.10
99	0.466667	0.378378	1435.0	543.0	1.93
100	0.50306	0.401956	892	358.5	1.8
