"National Life Tables, United Kingdom, period expectation of life, based on data for the years 2021-2023",,,,,,,,,,,,
"This worksheet contains two tables, presented horizontally with one blank column in between the tables.",,,,,,,,,,,,
"This worksheet uses notation in the column headers, please see the notation worksheet for explanations.",,,,,,,,,,,,
Back to contents,,,,,,,,,,,,
Males,,,,,,,Females,,,,,
age,mx,qx,lx,dx,ex,,age,mx,qx,lx,dx,ex
0,0.004532,0.004521,100000.0,452.1,78.82,,0,0.003582,0.003576,100000.0,357.6,82.77
1,0.000244,0.000244,99547.9,24.3,78.17,,1,0.000218,0.000218,99642.4,21.7,82.06
2,0.000165,0.000165,99523.6,16.4,77.19,,2,0.000137,0.000137,99620.7,13.6,81.08
3,0.000109,0.000109,99507.2,10.9,76.21,,3,0.000093,0.000093,99607.1,9.3,80.09
4,0.000083,0.000083,99496.3,8.2,75.21,,4,0.000074,0.000074,99597.8,7.4,79.10
5,0.000086,0.000086,99488.1,8.6,74.22,,5,0.000069,0.000069,99590.4,6.9,78.10
6,0.000070,0.000070,99479.5,7.0,73.23,,6,0.000067,0.000067,99583.6,6.7,77.11
7,0.000072,0.000072,99472.5,7.2,72.23,,7,0.000057,0.000057,99576.9,5.6,76.12
8,0.000076,0.000076,99465.3,7.5,71.24,,8,0.000059,0.000059,99571.3,5.8,75.12
9,0.000071,0.000071,99457.8,7.1,70.24,,9,0.000058,0.000058,99565.4,5.8,74.12
10,0.000059,0.000059,99450.7,5.9,69.25,,10,0.000064,0.000064,99559.6,6.4,73.13
11,0.000095,0.000095,99444.8,9.5,68.25,,11,0.000070,0.000070,99553.3,7.0,72.13
12,0.000102,0.000102,99435.3,10.2,67.26,,12,0.000067,0.000066,99546.3,6.6,71.14
13,0.000118,0.000118,99425.2,11.7,66.26,,13,0.000103,0.000103,99539.6,10.3,70.14
14,0.000132,0.000132,99413.5,13.1,65.27,,14,0.000090,0.000090,99529.4,9.0,69.15
15,0.000178,0.000178,99400.4,17.7,64.28,,15,0.000131,0.000131,99520.4,13.0,68.16
16,0.000240,0.000240,99382.7,23.9,63.29,,16,0.000123,0.000123,99507.4,12.3,67.16
17,0.000310,0.000310,99358.8,30.8,62.31,,17,0.000162,0.000162,99495.1,16.2,66.17
18,0.000434,0.000434,99328.0,43.1,61.33,,18,0.000178,0.000178,99478.9,17.7,65.18
19,0.000507,0.000507,99284.9,50.3,60.35,,19,0.000191,0.000190,99461.2,18.9,64.20
20,0.000479,0.000479,99234.6,47.5,59.38,,20,0.000235,0.000235,99442.3,23.4,63.21
21,0.000514,0.000514,99187.1,51.0,58.41,,21,0.000227,0.000227,99418.9,22.6,62.22
22,0.000520,0.000520,99136.1,51.5,57.44,,22,0.000216,0.000216,99396.3,21.5,61.24
23,0.000582,0.000582,99084.6,57.6,56.47,,23,0.000248,0.000248,99374.8,24.7,60.25
